,Population,,Average annual population growth %,Population age composition,,,Dependency ratio,,Crude death rate,Crude birth rate
,,,,Ages 0-14,Ages 15-64,Ages 65+,young,old,,
,millions,,,%,%,%,% of working-age population,% of working-age population,"per 1,000 people","per 1,000 people"
,2000,2021,2000-2021,2021,2021,2021,2021,2021,2020,2020
Afghanistan,20.8,39.8,3.1,41,56,3,73,5,6,31
Albania,3.1,2.8,-0.4,17,68,15,25,23,8,11
Algeria,31,44.6,1.7,31,62,7,50,11,5,23
American Samoa,0.1,0.1,-0.2,..,..,..,..,..,6,13
Andorra,0.1,0.1,0.8,..,..,..,..,..,..,..
Angola,16.4,33.9,3.5,46,52,2,89,4,8,40
Antigua and Barbuda,0.1,0.1,1.2,22,69,10,32,14,6,15
Argentina,36.9,45.8,1,24,64,12,38,18,8,17
Armenia,3.1,3,-0.2,21,67,12,31,18,10,13
Aruba,0.1,0.1,0.8,17,68,15,26,22,9,12
Australia,19.2,25.7,1.4,19,64,17,30,26,6,12
Austria,8,9,0.5,14,66,19,22,29,10,9
Azerbaijan,8,10.1,1.1,23,69,7,34,10,8,13
"Bahamas, The",0.3,0.4,1.4,21,71,8,30,11,7,14
Bahrain,0.7,1.7,4.6,18,79,3,23,4,2,13
Bangladesh,127.7,166.3,1.3,26,68,5,38,8,6,18
Barbados,0.3,0.3,0.3,17,66,17,25,26,9,11
Belarus,10,9.3,-0.3,17,67,16,26,24,13,9
Belgium,10.3,11.6,0.6,17,63,20,27,31,11,10
Belize,0.2,0.4,2.3,29,66,5,44,8,5,20
Benin,6.9,12.5,2.8,42,55,3,76,6,9,35
Bermuda,0.1,0.1,0.2,..,..,..,..,..,9,8
Bhutan,0.6,0.8,1.3,25,69,6,36,9,6,17
Bolivia,8.4,11.8,1.6,30,63,8,48,12,7,21
Bosnia and Herzegovina,3.8,3.3,-0.7,14,67,19,21,28,11,8
Botswana,1.6,2.4,1.8,33,62,5,53,7,6,24
Brazil,174.8,214,1,20,70,10,29,14,7,13
Brunei Darussalam,0.3,0.4,1.3,22,72,6,30,8,5,14
Bulgaria,8.2,6.9,-0.8,15,64,22,23,34,18,9
Burkina Faso,11.6,21.5,2.9,44,53,2,82,5,8,37
Burundi,6.4,12.3,3.1,45,52,2,86,5,8,38
Cabo Verde,0.4,0.6,1.3,28,67,5,41,7,6,19
Cambodia,12.2,16.9,1.6,31,64,5,48,8,6,22
Cameroon,15.5,27.2,2.7,42,55,3,75,5,9,34
Canada,30.7,38.2,1,16,66,19,24,28,8,9
Cayman Islands,0,0.1,2.2,..,..,..,..,..,3,13
Central African Republic,3.6,4.9,1.4,43,54,3,79,5,12,35
Chad,8.4,16.9,3.4,46,51,3,90,5,12,41
Channel Islands,0.1,0.2,0.8,15,67,18,22,27,8,10
Chile,15.3,19.2,1.1,19,68,13,28,19,6,12
China,"1,262.60","1,412.40",0.5,18,70,12,25,18,7,9
"Hong Kong SAR, China",6.7,7.4,0.5,13,68,19,19,28,7,6
"Macao SAR, China",0.4,0.7,2.1,15,73,13,20,18,4,11
Colombia,39.6,51.3,1.2,22,69,9,32,14,6,14
Comoros,0.5,0.9,2.4,39,58,3,67,5,7,31
"Congo, Dem. Rep.",47.1,92.4,3.2,46,51,3,89,6,9,40
"Congo, Rep.",3.1,5.7,2.8,41,56,3,73,5,7,32
Costa Rica,4,5.1,1.2,21,69,11,30,15,5,13
Cote d'Ivoire,16.5,27.1,2.4,41,56,3,74,5,10,35
Croatia,4.5,3.9,-0.6,14,64,22,23,34,14,9
Cuba,11.1,11.3,0.1,16,68,16,23,24,9,10
Curacao,0.1,0.2,0.6,18,64,18,28,28,9,10
Cyprus,0.9,1.2,1.2,16,69,15,24,21,7,10
Czech Republic,10.3,10.7,0.2,16,64,20,25,32,12,10
Denmark,5.3,5.9,0.4,16,63,20,26,32,9,10
Djibouti,0.7,1,1.6,29,67,5,43,7,7,21
Dominica,0.1,0.1,0.2,..,..,..,..,..,..,..
Dominican Republic,8.5,11,1.2,27,65,8,42,12,6,19
Ecuador,12.7,17.9,1.6,27,65,8,42,12,5,19
"Egypt, Arab Rep.",68.8,104.3,2,34,61,5,56,9,6,25
El Salvador,5.9,6.5,0.5,26,65,9,41,14,7,18
Equatorial Guinea,0.6,1.4,4.2,37,61,2,61,4,9,32
Eritrea,2.3,..,..,..,..,..,..,..,7,29
Estonia,1.4,1.3,-0.2,16,63,21,26,33,12,10
Eswatini,1,1.2,0.7,37,59,4,63,7,9,25
Ethiopia,66.2,117.9,2.7,40,57,4,70,6,6,31
Faroe Islands,0,0,0.2,..,..,..,..,..,7,13
Fiji,0.8,0.9,0.5,29,65,6,44,9,8,21
Finland,5.2,5.5,0.3,16,61,23,25,37,10,8
France,60.9,67.5,0.5,17,61,21,28,34,10,11
French Polynesia,0.2,0.3,0.8,22,69,9,32,14,6,14
Gabon,1.2,2.3,2.9,37,59,4,63,6,7,30
"Gambia, The",1.3,2.5,3,44,54,3,82,5,8,38
Georgia,4.1,3.7,-0.5,20,64,16,32,24,13,13
Germany,82.2,83.1,0.1,14,64,22,22,34,12,9
Ghana,19.3,31.7,2.4,37,60,3,62,5,7,29
Greece,10.8,10.7,-0.1,13,64,23,21,35,12,8
Greenland,0.1,0.1,0,..,..,..,..,..,9,15
Grenada,0.1,0.1,0.4,24,66,10,36,15,10,16
Guam,0.2,0.2,0.4,24,66,11,36,17,5,16
Guatemala,11.6,17.1,1.9,33,62,5,53,8,5,24
Guinea,8.2,13.5,2.3,43,54,3,79,5,8,36
Guinea-Bissau,1.2,2,2.5,42,55,3,75,5,9,34
Guyana,0.7,0.8,0.3,27,65,7,42,11,8,19
Haiti,8.5,11.5,1.5,32,63,5,51,8,8,24
Honduras,6.6,10.1,2,30,65,5,46,8,4,21
Hungary,10.2,9.7,-0.2,14,65,21,22,32,15,10
Iceland,0.3,0.4,1.3,19,65,16,30,25,6,12
India,"1,056.60","1,393.40",1.3,26,67,7,38,10,7,17
Indonesia,211.5,276.4,1.3,26,68,7,38,10,7,17
"Iran, Islamic Rep.",65.6,85,1.2,25,68,7,36,10,5,18
Iraq,23.5,41.2,2.7,37,59,3,63,6,5,28
Ireland,3.8,5,1.3,20,65,15,32,23,6,11
Isle of Man,0.1,0.1,0.5,..,..,..,..,..,..,..
Israel,6.3,9.4,1.9,28,60,13,46,21,5,19
Italy,56.9,59.1,0.2,13,64,24,20,37,13,7
Jamaica,2.7,3,0.5,23,68,9,34,14,8,16
Japan,126.8,125.7,0,12,59,29,21,49,11,7
Jordan,5.1,10.3,3.3,32,64,4,50,6,4,21
Kazakhstan,14.9,19,1.2,29,63,8,47,13,9,23
Kenya,32,55,2.6,38,59,3,64,4,5,28
Kiribati,0.1,0.1,1.7,36,60,4,60,7,6,27
"Korea, Dem. People's Rep.",22.9,25.9,0.6,20,71,10,28,14,9,14
"Korea, Rep.",47,51.7,0.5,12,71,17,17,23,6,5
Kosovo,1.7,1.8,0.3,..,..,..,..,..,8,15
Kuwait,2,4.3,3.6,21,75,3,28,4,3,13
Kyrgyz Republic,4.9,6.7,1.5,33,63,5,52,8,6,24
Lao PDR,5.3,7.4,1.6,32,64,4,49,7,6,23
Latvia,2.4,1.9,-1.1,17,62,21,27,34,15,9
Lebanon,3.8,6.8,2.7,24,68,8,36,12,5,17
Lesotho,2,2.2,0.3,32,63,5,51,8,14,26
Liberia,2.8,5.2,2.8,40,57,3,71,6,7,32
Libya,5.4,7,1.2,27,68,5,40,7,5,18
Liechtenstein,0,0,0.7,..,..,..,..,..,8,9
Lithuania,3.5,2.8,-1.1,16,63,21,25,33,16,9
Luxembourg,0.4,0.6,1.8,16,70,15,22,21,7,10
Madagascar,15.8,28.4,2.8,40,57,3,70,6,6,32
Malawi,11.1,19.6,2.7,43,55,3,78,5,6,33
Malaysia,23.2,32.8,1.6,23,69,7,34,11,5,16
Maldives,0.3,0.5,3.2,20,76,4,26,5,3,13
Mali,10.9,20.9,3.1,47,51,2,92,5,9,41
Malta,0.4,0.5,1.3,14,64,22,23,34,8,9
Marshall Islands,0.1,0.1,0.8,..,..,..,..,..,..,..
Mauritania,2.6,4.8,2.8,40,57,3,69,6,7,33
Mauritius,1.2,1.3,0.3,16,71,13,23,18,9,11
Mexico,98.9,130.3,1.3,25,67,8,38,12,6,17
"Micronesia, Fed. Sts.",0.1,0.1,0.4,31,64,5,48,7,7,23
Moldova,2.9,2.6,-0.6,16,71,13,22,18,12,10
Monaco,0,0,1,..,..,..,..,..,..,..
Mongolia,2.4,3.3,1.6,31,64,4,48,7,6,23
Montenegro,0.6,0.6,0.1,18,66,16,27,25,12,11
Morocco,28.8,37.3,1.2,26,66,8,40,12,5,18
Mozambique,17.7,32.2,2.8,44,53,3,82,5,8,37
Myanmar,46.7,54.8,0.8,25,68,6,37,9,8,17
Namibia,1.8,2.6,1.7,37,60,4,61,6,8,28
Nepal,23.9,29.7,1,28,66,6,43,9,6,19
Netherlands,15.9,17.5,0.5,16,64,20,24,32,10,10
New Caledonia,0.2,0.3,1.2,22,68,10,32,15,6,14
New Zealand,3.9,5.1,1.4,19,64,17,30,26,6,11
Nicaragua,5.1,6.7,1.3,29,65,6,45,9,5,20
Niger,11.3,25.1,3.8,50,48,3,104,5,8,45
Nigeria,122.3,211.4,2.6,43,54,3,80,5,11,37
North Macedonia,2,2.1,0.1,16,69,15,24,22,12,9
Northern Mariana Islands,0.1,0.1,0,..,..,..,..,..,..,..
Norway,4.5,5.4,0.9,17,65,18,26,27,8,10
Oman,2.3,5.2,4,23,75,3,31,4,2,18
Pakistan,142.3,225.2,2.2,35,61,4,57,7,7,27
Palau,0,0,-0.2,..,..,..,..,..,8,11
Panama,3,4.4,1.8,26,65,9,40,13,5,18
Papua New Guinea,5.8,9.1,2.1,35,61,4,57,6,7,27
Paraguay,5.3,7.2,1.5,29,64,7,44,11,6,20
Peru,26.5,33.4,1.1,25,66,9,37,13,6,18
Philippines,78,111,1.7,30,65,6,46,9,6,20
Poland,38.3,37.8,-0.1,15,65,19,23,30,13,9
Portugal,10.3,10.3,0,13,64,23,20,36,12,8
Puerto Rico,3.8,3.3,-0.7,15,64,21,23,33,10,6
Qatar,0.6,2.9,7.6,14,84,2,16,2,1,9
Romania,22.4,19.1,-0.8,15,65,20,24,30,15,9
Russian Federation,146.6,143.4,-0.1,18,66,16,28,24,15,10
Rwanda,7.9,13.3,2.5,39,58,3,68,6,5,31
Samoa,0.2,0.2,0.7,37,58,5,64,9,5,24
San Marino,0,0,1,..,..,..,..,..,10,6
Sao Tome and Principe,0.1,0.2,2.1,41,56,3,74,6,5,31
Saudi Arabia,20.7,35.3,2.6,25,72,4,34,5,4,17
Senegal,9.8,17.2,2.7,42,55,3,77,6,5,33
Serbia,7.5,6.8,-0.4,15,65,19,23,30,17,9
Seychelles,0.1,0.1,1,24,68,8,35,12,7,16
Sierra Leone,4.6,8.1,2.7,40,57,3,70,5,11,32
Singapore,4,5.5,1.4,12,73,14,17,19,5,9
Sint Maarten (Dutch part),0,0,1.6,..,..,..,..,..,..,..
Slovak Republic,5.4,5.4,0.1,16,67,17,23,26,11,10
Slovenia,2,2.1,0.3,15,64,21,24,33,11,9
Solomon Islands,0.4,0.7,2.5,40,56,4,71,7,4,31
Somalia,8.9,16.4,2.9,46,51,3,90,6,11,41
South Africa,45,60,1.4,29,66,6,43,9,9,20
South Sudan,6.2,11.4,2.9,41,56,3,74,6,10,34
Spain,40.6,47.3,0.7,14,65,20,22,31,10,7
Sri Lanka,18.8,22.2,0.8,23,65,12,36,18,7,15
St. Kitts and Nevis,0,0.1,0.9,..,..,..,..,..,..,..
St. Lucia,0.2,0.2,0.8,18,72,11,25,15,7,12
St. Martin (French part),0,0,1.5,..,..,..,..,..,5,14
St. Vincent and the Grenadines,0.1,0.1,0.2,22,68,10,32,15,9,14
Sudan,27.3,44.9,2.4,39,57,4,69,7,7,31
Suriname,0.5,0.6,1.1,26,66,7,40,11,7,18
Sweden,8.9,10.4,0.8,18,62,20,29,33,10,11
Switzerland,7.2,8.7,0.9,15,66,19,23,30,9,10
Syrian Arab Republic,16.4,18.3,0.5,31,64,5,48,8,5,23
Tajikistan,6.2,9.7,2.1,37,59,3,63,6,5,29
Tanzania,33.5,61.5,2.9,43,54,3,80,5,6,36
Thailand,63,70,0.5,16,70,14,23,19,8,10
Timor-Leste,0.9,1.3,2,37,59,4,62,7,6,29
Togo,4.9,8.5,2.6,40,57,3,71,5,8,32
Tonga,0.1,0.1,0.4,34,60,6,58,10,7,24
Trinidad and Tobago,1.3,1.4,0.5,20,68,12,29,17,9,12
Tunisia,9.7,11.9,1,24,67,9,36,14,6,17
Turkiye,63.2,85,1.4,24,67,9,35,14,5,16
Turkmenistan,4.5,6.1,1.4,31,64,5,48,8,7,22
Turks and Caicos Islands,0,0,3.2,..,..,..,..,..,..,..
Tuvalu,0,0,1.1,..,..,..,..,..,..,..
Uganda,23.7,47.1,3.3,46,52,2,87,4,6,37
Ukraine,49.2,43.8,-0.5,16,67,17,24,26,16,8
United Arab Emirates,3.1,10,5.5,15,84,1,18,2,2,10
United Kingdom,58.9,67.3,0.6,18,64,19,28,30,10,10
United States,282.2,331.9,0.8,18,65,17,28,26,10,11
Uruguay,3.3,3.5,0.2,20,65,15,31,24,9,14
Uzbekistan,24.7,34.9,1.7,29,66,5,43,8,5,25
Vanuatu,0.2,0.3,2.5,38,58,4,66,6,5,29
"Venezuela, RB",24.2,28.7,0.8,27,65,8,41,13,7,17
Vietnam,79.9,98.2,1,23,69,8,34,12,6,16
Virgin Islands (U.S.),0.1,0.1,-0.1,19,60,21,32,35,8,12
West Bank and Gaza,2.9,4.9,2.5,38,59,3,65,6,3,28
"Yemen, Rep.",17.4,30.5,2.7,38,59,3,66,5,6,29
Zambia,10.4,18.9,2.8,44,54,2,80,4,6,35
Zimbabwe,11.9,15.1,1.1,41,56,3,74,5,8,29
World,"6,114.30","7,836.60",1.2,25,65,10,39,15,8,17
East Asia & Pacific,"2,047.60","2,368.60",0.7,19,69,12,28,17,7,11
Europe & Central Asia,861.3,923.8,0.3,18,65,17,28,27,11,11
Latin America & Caribbean,520.9,658.1,1.1,24,67,9,35,14,6,16
Middle East & North Africa,315.3,472.5,1.9,30,65,6,46,9,5,22
North America,312.9,370.2,0.8,18,65,17,28,27,10,11
South Asia,"1,390.90","1,877.90",1.4,27,66,6,41,10,7,19
Sub-Saharan Africa,665.3,"1,165.60",2.7,42,55,3,76,6,8,34
Low income,397.5,701.9,2.7,41,55,3,75,6,7,34
Lower middle income,"2,438.30","3,363.20",1.5,29,65,6,45,9,7,21
Upper middle income,"2,154.10","2,501.40",0.7,20,69,11,29,17,7,11
High income,"1,100.30","1,241.40",0.6,16,65,19,25,29,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
